Rank,Player,Wins,Losses,yElo
RankPlayerWinsLossesyElo1Jannik Sinner3732289.02Carlos Alcaraz2232132.73Alexander Zverev38102132.54Arthur Fils2272062.45Rafael Jodar35112026.26Casper Ruud23122020.47Frances Tiafoe29122000.58Tommy Paul30121980.99Francisco Cerundolo27121963.710Alexander Blockx29111963.711Sebastian Korda1671954.112Ben Shelton25101940.713Taylor Fritz19121937.514Flavio Cobolli23141927.015Jakub Mensik23111926.416Daniil Medvedev28111921.917Learner Tien20111918.018Matteo Arnaldi16101916.319Lorenzo Musetti1371913.320Valentin Vacherot1591912.721Felix Auger Aliassime26131903.622Raphael Collignon31111903.123Andrey Rublev21121897.724Joao Fonseca14111890.725Alejandro Davidovich Fokina19131890.026Jiri Lehecka20121889.527Juan Manuel Cerundolo24141885.728Pablo Carreno Busta24121885.429Alex De Minaur24131882.830Hamad Medjedovic21101878.231Tomas Machac14101873.132Dino Prizmic27111872.133Ugo Humbert24171866.134Mariano Navone21151864.435Novak Djokovic941857.836Luciano Darderi22141852.537Brandon Nakashima18131851.338Ignacio Buse21141848.939Kamil Majchrzak16131843.940Zizou Bergs18161822.941Alex Michelsen18141820.142Thiago Agustin Tirante22151813.843Alejandro Tabilo30171812.244Matteo Berrettini15121811.245Ethan Quinn23171807.246Rinky Hijikata28201800.247Jack Draper851791.248Alex Molcan23111784.949Andrea Pellegrino23141784.850Miomir Kecmanovic17171784.651Camilo Ugo Carabelli18151783.052Nuno Borges17201782.753Jaime Faria34161780.554Pablo Llamas Ruiz27111777.555Sebastian Baez23151772.456Alexander Bublik20141772.257Yannick Hanfmann18141771.658Tomas Martin Etcheverry21151768.559Fabian Marozsan15171768.260Soon Woo Kwon1941764.661Vit Kopriva22191761.462Marin Cilic13121759.563Bu Yunchaokete17101757.564Eliot Spizzirri751757.265Stefanos Tsitsipas16141754.966Toby Samuel24111754.067Daniel Altmaier15201753.968Adolfo Daniel Vallejo32121752.369Daniel Merida Aguilar29151751.770Hubert Hurkacz14151751.371Facundo Diaz Acosta30121750.872Cameron Norrie14141747.973Roman Safiullin22101746.874Gustavo Heide22121746.875Benjamin Bonzi24171743.676Jesper De Jong20181740.877Jan Choinski23181740.778Martin Landaluce23191739.679Mattia Bellucci24211738.680Titouan Droguet24131737.981Karen Khachanov14141735.282Adam Walton28201734.783Sebastian Ofner25151733.884Martin Damm20151733.185Arthur Fery18101728.186Taro Daniel1481723.387Nishesh Basavareddy20101722.788Luca Van Assche28151719.989Borna Gojo2361717.690Giovanni Mpetshi Perricard14151715.191Jason Kubler411714.592Quentin Halys23201713.493Henrique Rocha24141712.894Emilio Nava27201712.095Otto Virtanen19141708.896Kyrian Jacquet1771708.197Roman Andres Burruchaga21151706.998Botic Van De Zandschulp13141701.599Sho Shimabukuro26181697.4100Tallon Griekspoor11151694.7101Andrea Vavassori731691.5102Francisco Comesana13171689.9103Christopher Oconnell14161689.6104Laslo Djere1491689.3105Nikoloz Basilashvili17191687.8106Zachary Svajda23151687.6107Arthur Rinderknech11151686.3108Kilian Feldbausch1451684.6109Terence Atmane12191682.6110Lukas Neumayer21121675.3111Yibing Wu21121674.7112Max Alcala Gurri1341672.6113Jurij Rodionov28151671.2114Henry Searle741669.8115Hugo Dellien28141669.1116Federico Cina20131665.2117Zhizhen Zhang14161660.9118Jack Kennedy841659.5119Alexei Popyrin8171659.4120Juncheng Shang341658.2121Dhakshineswar Suresh411656.9122Arthur Cazaux321653.3123Vitaliy Sachko13141652.1124Leandro Riedi17121652.0125Giles Hussey1591650.6126Denis Shapovalov9131648.6127Jaume Munar9131643.7128Reilly Opelka681641.7129Stefanos Sakellaridis27151641.2130Inaki Montes De La Torre1041640.9131Michael Zheng1071640.5132Marton Fucsovics7131638.3133Aleksandar Kovacevic17231635.7134Pierre Hugues Herbert15111635.2135Alexander Shevchenko22221634.8136David Jorda Sanchis12111634.3137Nikolas Sanchez Izquierdo25161626.1138Moise Kouame10111624.2139Clement Tabur22151623.8140Gauthier Onclin1591622.5141Marcos Giron18191621.7142Adrian Mannarino11211617.7143Juan Carlos Prado Angelo16131615.8144Marco Cecchinato25171615.6145Gabriel Diallo8161612.7146Remy Bertola17161612.3147Roberto Carballes Baena20171611.8148Zsombor Piros22121610.3149Felix Balshaw1051608.8150Alexis Galarneau26161604.7151Rodrigo Pacheco Mendez15111602.7152Elmer Moller12141602.3153Michael Mmoh23111599.9154Arthur Gea24111599.9155Jan Lennard Struff11171598.3156Patrick Kypson12161596.5157Hynek Barton17131595.5158Dalibor Svrcina21151594.8159James Duckworth17171593.9160Max Schoenhaus861593.5161Lloyd Harris1481592.9162Cezar Cretu961591.9163Pol Martin Tiffon24151591.9164Rei Sakamoto17141591.5165Nicolai Budkov Kjaer17181591.3166Sumit Nagal14141591.3167Jordan Thompson321588.9168Marco Trungelliti22181588.8169Andre Ilagan16111588.6170August Holmgren18171588.1171Chris Rodesch17111586.4172Lukas Klein431585.6173Aleksandar Vukic12191583.3174Andrea Guerrieri1281583.3175Liam Draxl19131582.4176Tristan Boyer1491581.5177Damir Dzumhur12211581.0178Valentin Royer12201580.2179Cosme Rolland De Ravel411578.6180Buvaysar Gadamauri18111577.6181Dusan Lajovic17181576.4182Colton Smith17141575.9183Stan Wawrinka8141574.6184Florian Broska431574.2185Tom Gentzsch21141573.4186Thanasi Kokkinakis331573.1187Lorenzo Sonego6111572.7188Corentin Moutet9161572.4189Jenson Brooksby6161570.8190Cristian Garin9151569.9191Pavel Kotov1981569.2192Darwin Blanch15141568.5193Luka Mikrut861568.4194Joel Schwaerzler23151568.3195Dali Blanch19101565.7196Thiago Monteiro15111565.4197Tomas Barrios Vera19191565.1198Nikolai Barsukov321562.5199Arthur Bouquier451560.6200Edas Butvilas17141559.6201Mees Rottgering331559.4202Timofey Skatov21171558.9203Grigor Dimitrov6131557.9204Kimmer Coppejans19151557.4205Gael Monfils371556.0206Harry Wendelken20131555.9207Daniel Rincon10111554.9208Jacopo Vasami11111554.6209Gianluca Cadenasso 12111554.2210James Mccabe13121551.6211Alex Bolt17141550.4212Mark Lajal11121547.8213Coleman Wong23201547.7214Ryan Seggerman421547.5215Chun Hsin Tseng17171545.5216Roberto Bautista Agut9181544.4217Tommaso Compagnucci631544.0218Thiago Seyboth Wild16111543.5219Timo Legout321542.2220Joshua Sheehy311541.2221Raul Brancaccio17121537.7222Lautaro Midon22151537.5223Andres Santamarta Roig321536.2224Vilius Gaubas20181535.4225Franco Roncadelli21101533.5226Francesco Forti651533.3227Diego Dedura Palomero15151533.3228Liam Broady19111533.1229Rio Noguchi20111533.1230Stefano Travaglia21161533.0231Jack Pinnington Jones13141532.8232Petr Nesterov851530.5233Andrej Nedic1691530.2234Elias Ymer11111530.1235Hugo Gaston14171529.9236Petr Brunclik971529.3237Hamish Stewart1261525.6238Felix Gill13131525.2239Nicolas Jarry481525.1240Jerome Kym891524.5241Nick Hardt1261522.6242Fajing Sun17141522.0243Alexandre Muller9151520.4244Marek Gengel841520.4245Jacob Fearnley8151520.0246Andres Andrade18131519.6247Tristan Schoolkate17161515.9248Daniel Elahi Galan11171515.6249Filippo Romano1171515.5250Francesco Passaro881512.7251Pedro Martinez17181512.2252Thomas Faurel891512.2253Nerman Fatic791510.9254Christoph Negritu541510.9255Rudolf Molleker321505.2256Joao Lucas Reis Da Silva16181505.1257Mika Brunold641503.4258Maxim Mrva16151503.2259Billy Harris10201502.6260Luca Nardi11141502.1261Marvin Moeller331498.0262Henri Squire11141496.8263Luka Pavlovic14141496.5264Dominic Stricker441496.1265Johan Alexander Rodriguez Rodriguez421496.1266Zdenek Kolar19191494.4267Justin Boulais771494.1268Alex Martinez541492.7269Semen Pankin321492.6270Giulio Zeppieri451490.9271Khololwam Montsi321490.9272Stefan Dostanic18111490.1273Philip Henning1061489.8274Max Houkes9111489.4275Ilya Ivashka1071489.2276Stefano Napolitano14111488.1277Gerard Campana Lee331488.1278Antoine Ghibaudo991487.9279Keegan Smith13131487.4280Genaro Alberto Olivieri14161486.4281Jay Dylan Hara Friend331485.9282Lukas Pokorny331485.5283Pedro Boscardin Dias18171485.0284Alejandro Moro Canas17171484.0285Igor Ribeiro Marcondes781483.2286Mili Poljicak961483.1287Alexander Donski531481.2288Martin Krumich14141480.5289Mikhail Kukushkin16151480.3290Edward Winter751480.0291Kei Nishikori351478.1292Enrico Dalla Valle12111478.1293Yuta Shimizu10101477.1294Juan Manuel La Serna23141474.7295Lilian Marmousez441474.3296Kriish Tyagi421473.5297Gonzalo Bueno21181473.0298Tibo Colson651472.9299Harold Mayot761472.7300Mackenzie Mcdonald11171471.0301Quinn Vandecasteele441468.5302Federico Bondioli791468.0303Lucio Ratti551465.9304Marc Andrea Huesler11131465.7305Clement Chidekh21141463.3306Oriol Roca Batalla461463.0307Laurent Lokoli571459.7308Andrej Martin551459.5309Daniel Michalski13121458.5310Li Tu1191456.2311Duje Ajdukovic11121455.7312Alexander Vasilev451455.7313Max Hans Rehberg991455.5314Yu Hsiou Hsu12141455.3315Jay Clarke13171455.0316Braden Shick651454.8317Sergey Fomin1281454.0318Benjamin Hassan7101451.0319Mats Rosenkranz331450.5320Guido Ivan Justo27171450.3321Eero Vasa351449.8322Maxime Chazal331449.5323Eliakim Coulibaly1081448.5324Matheus Pucinelli De Almeida1081445.6325Matias Soto16101444.2326Manish Sureshkumar341443.4327Hyeon Chung471443.0328Sandro Kopp10141442.2329Jie Cui371441.6330Oliver Crawford9111441.3331Stefan Palosi661439.4332Ugo Blanchet10151439.3333Francesco Maestrelli12161437.5334Hugo Grenier591437.2335Matej Dodig10131436.0336Daniil Ostapenkov331433.4337Guy Den Ouden6141432.7338Daniil Glinka17171432.1339Luciano Emanuel Ambrogi12121431.8340Luis Guto Miguel561429.8341Aidan Mayo451428.9342Niels Visker671428.1343Gonzalo Villanueva11141426.2344Petr Bar Biryukov14141424.6345Franco Agamenone15151424.6346Olukayode Alafia Damina Ayeni561423.9347Marc Polmans581423.5348Paul Jubb871421.4349Matteo Martineau10111421.2350Carlos Sanchez Jover8101421.1351Nicolas Mejia16161420.6352Michele Ribecai791420.0353Gilles Arnaud Bailly9121419.6354Ilia Simakin16121417.9355Blake Ellis12101417.4356Alexandr Binda461417.1357Karl Poling451416.2358Manas Dhamne10121414.7359Charles Broom8101414.4360Ognjen Milic10101414.3361Marat Sharipov681413.9362Philip Sekulic681413.9363Miguel Damas11171412.1364Yanki Erel331411.5365Florent Bax14111409.6366Beibit Zhukayev8101409.5367Frederico Ferreira Silva15171408.8368Dane Sweeny17141408.4369Abedallah Shelbayh6131408.3370Ivan Gakhov881405.9371Murphy Cassone8161405.0372Facundo Mena8111403.7373Daniel Milavsky561401.7374Alastair Gray11121399.1375Tung Lin Wu9101399.0376Masamichi Imamura551397.1377Yi Zhou11121396.9378Johan Nikles441396.6379Arda Azkara331396.4380Johannus Monday761395.5381Nicolas Moreno De Alboran361393.5382Alec Beckley331393.4383Franco Ribero341392.9384Valerio Aboian11111390.6385Alejo Sanchez Quilez481390.5386Radu Albot461390.2387Federico Agustin Gomez8131389.7388George Loffhagen481389.0389Oleg Prihodko551387.9390Corentin Denolly481385.9391Kasidit Samrej351385.8392Tyler Zink9121384.7393Sascha Gueymard Wayenburg8151384.3394Dimitar Kuzmanov9141384.1395Mathys Erhard9121382.6396Hiroki Moriya561380.4397Nicolas Kicker10151380.2398Conner Huertas Del Pino771379.2399Federico Iannaccone331377.3400Ivan Marrero Curbelo551376.9401Federico Coria351375.9402Calvin Hemery14141374.9403Hernan Casanova981374.5404Yasutaka Uchiyama991373.3405Norbert Gombos6111372.0406Jonas Forejtek10151369.6407Karim Bennani451367.7408Shintaro Mochizuki6201366.5409Bernard Tomic12151365.7410Cannon Kingsley791361.4411Juan Pablo Ficovich10141358.8412Alvaro Guillen Meza13161357.6413Marko Topo3101355.5414Maks Kasnikowski8121354.9415Mert Alkaya771354.3416Eduardo Ribeiro9111352.7417Hayato Matsuoka7121351.6418Garrett Johns591349.6419Alex Rybakov4101348.5420Murkel Alejandro Dellien Velasco11121347.9421Blaise Bicknell9111347.0422Svyatoslav Gulin381346.7423Lorenzo Giustino11151346.6424Juan Estevez7101346.5425Miguel Tobon6101346.0426Dan Martin471345.9427Justin Engel6141343.6428San Hui Sin361342.3429Filip Cristian Jianu5111341.2430Maximus Jones11131337.9431Moez Echargui5191337.2432Akira Santillan381335.6433Raphael Perot481333.3434Stefan Kozlov10141331.7435Andrea Collarini9111331.5436Juan Bautista Torres13151330.3437Joaquin Aguilar Cardozo 481328.9438Patrick Zahraj481325.2439Jelle Sels381322.7440Juan Pablo Varillas14151321.9441Andres Martin8151320.8442Michael Geerts8111320.4443Ioannis Xilas471316.5444Ryan Dickerson351315.2445Mitchell Krueger5131314.4446Robert Strombachs471314.1447Santiago Fa Rodriguez Taverna8131312.1448Alex Barrena10171312.1449Max Wiskandt371310.9450Dan Added5131307.6451Carlo Alberto Caniato 381305.8452Denis Yevseyev681302.5453Felipe Meligeni Alves381301.3454Sasi Kumar Mukund471300.6455Juan Alejandro Hernandez Serrano591296.8456Thiago Cigarran351296.4457Robin Bertrand7131295.1458Mitsuki Wei Kang Leong361285.4459Lorenzo Joaquin Rodriguez691283.9460Christian Langmo491281.2461Nicolas Villalon461279.8462Geoffrey Blancaneaux3101276.4463Daniel Dutra Da Silva5161271.2464Joao Eduardo Schiessl3101264.4465Omar Jasika4111259.9466Carlos Maria Zarate491245.1467Pedro Sakamoto3131220.3468Kaichi Uchida5141216.3469Paulo Andre Saraiva Dos Santos491193.8,,,,
Rank,Player,Wins,Losses,yElo
1,Jannik Sinner,37,3,2289.0
2,Carlos Alcaraz,22,3,2132.7
3,Alexander Zverev,38,10,2132.5
4,Arthur Fils,22,7,2062.4
5,Rafael Jodar,35,11,2026.2
6,Casper Ruud,23,12,2020.4
7,Frances Tiafoe,29,12,2000.5
8,Tommy Paul,30,12,1980.9
